id,title,genres,year,genres_list,tag_soup
38,It Takes Two,Children|Comedy,1995.0,"['Children', 'Comedy']",children children children comedy comedy comedy
39,Clueless,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
40,"Cry, the Beloved Country",Drama,1995.0,['Drama'],drama drama drama
41,Richard III,Drama|War,1995.0,"['Drama', 'War']",drama drama drama war war war
42,Dead Presidents,Action|Crime|Drama,1995.0,"['Action', 'Crime', 'Drama']",action action action crime crime crime drama drama drama
43,Restoration,Drama,1995.0,['Drama'],drama drama drama
44,Mortal Kombat,Action|Adventure|Fantasy,1995.0,"['Action', 'Adventure', 'Fantasy']",action action action adventure adventure adventure fantasy fantasy fantasy
45,To Die For,Comedy|Drama|Thriller,1995.0,"['Comedy', 'Drama', 'Thriller']",comedy comedy comedy drama drama drama thriller thriller thriller
46,How to Make an American Quilt,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0,"['Mystery', 'Thriller']",mystery mystery mystery thriller thriller thriller
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995.0,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",animation animation animation children children children drama drama drama musical musical musical romance romance romance
49,When Night Is Falling,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995.0,"['Crime', 'Mystery', 'Thriller']",crime crime crime mystery mystery mystery thriller thriller thriller
52,Mighty Aphrodite,Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
53,Lamerica,Adventure|Drama,1994.0,"['Adventure', 'Drama']",adventure adventure adventure drama drama drama
54,"Big Green, The",Children|Comedy,1995.0,"['Children', 'Comedy']",children children children comedy comedy comedy
55,Georgia,Drama,1995.0,['Drama'],drama drama drama
57,Home for the Holidays,Drama,1995.0,['Drama'],drama drama drama
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",adventure adventure adventure children children children fantasy fantasy fantasy
61,Eye for an Eye,Drama|Thriller,1996.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
62,Mr. Holland's Opus,Drama,1995.0,['Drama'],drama drama drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996.0,"['Comedy', 'Crime']",comedy comedy comedy crime crime crime
64,Two if by Sea,Comedy|Romance,1996.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
65,Bio-Dome,Comedy,1996.0,['Comedy'],comedy comedy comedy
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996.0,"['Action', 'Sci-Fi', 'Thriller']",action action action sci-fi sci-fi sci-fi thriller thriller thriller
68,French Twist (Gazon maudit),Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
69,Friday,Comedy,1995.0,['Comedy'],comedy comedy comedy
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996.0,"['Action', 'Comedy', 'Horror', 'Thriller']",action action action comedy comedy comedy horror horror horror thriller thriller thriller
71,Fair Game,Action,1995.0,['Action'],action action action
72,Kicking and Screaming,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
73,"Misérables, Les",Drama|War,1995.0,"['Drama', 'War']",drama drama drama war war war
74,Bed of Roses,Drama|Romance,1996.0,"['Drama', 'Romance']",drama drama drama romance romance romance
75,Big Bully,Comedy|Drama,1996.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
76,Screamers,Action|Sci-Fi|Thriller,1995.0,"['Action', 'Sci-Fi', 'Thriller']",action action action sci-fi sci-fi sci-fi thriller thriller thriller
77,Nico Icon,Documentary,1995.0,['Documentary'],documentary documentary documentary
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995.0,"['Action', 'Crime', 'Drama', 'Thriller']",action action action crime crime crime drama drama drama thriller thriller thriller
79,"Juror, The",Drama|Thriller,1996.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995.0,"['Children', 'Drama']",children children children drama drama drama
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995.0,"['Crime', 'Drama', 'Romance']",crime crime crime drama drama drama romance romance romance
82,Antonia's Line (Antonia),Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
85,Angels and Insects,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
86,White Squall,Action|Adventure|Drama,1996.0,"['Action', 'Adventure', 'Drama']",action action action adventure adventure adventure drama drama drama
87,Dunston Checks In,Children|Comedy,1996.0,"['Children', 'Comedy']",children children children comedy comedy comedy
88,Black Sheep,Comedy,1996.0,['Comedy'],comedy comedy comedy
89,Nick of Time,Action|Thriller,1995.0,"['Action', 'Thriller']",action action action thriller thriller thriller
92,Mary Reilly,Drama|Horror|Thriller,1996.0,"['Drama', 'Horror', 'Thriller']",drama drama drama horror horror horror thriller thriller thriller
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995.0,"['Comedy', 'Horror', 'Romance']",comedy comedy comedy horror horror horror romance romance romance
94,Beautiful Girls,Comedy|Drama|Romance,1996.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
95,Broken Arrow,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']",action action action adventure adventure adventure thriller thriller thriller
96,In the Bleak Midwinter,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
97,"Hate (Haine, La)",Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
99,Heidi Fleiss: Hollywood Madam,Documentary,1995.0,['Documentary'],documentary documentary documentary
100,City Hall,Drama|Thriller,1996.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996.0,"['Adventure', 'Comedy', 'Crime', 'Romance']",adventure adventure adventure comedy comedy comedy crime crime crime romance romance romance
102,Mr. Wrong,Comedy,1996.0,['Comedy'],comedy comedy comedy
103,Unforgettable,Mystery|Sci-Fi|Thriller,1996.0,"['Mystery', 'Sci-Fi', 'Thriller']",mystery mystery mystery sci-fi sci-fi sci-fi thriller thriller thriller
104,Happy Gilmore,Comedy,1996.0,['Comedy'],comedy comedy comedy
105,"Bridges of Madison County, The",Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996.0,"['Adventure', 'Children', 'Comedy', 'Musical']",adventure adventure adventure children children children comedy comedy comedy musical musical musical
108,Catwalk,Documentary,1996.0,['Documentary'],documentary documentary documentary
110,Braveheart,Action|Drama|War,1995.0,"['Action', 'Drama', 'War']",action action action drama drama drama war war war
111,Taxi Driver,Crime|Drama|Thriller,1976.0,"['Crime', 'Drama', 'Thriller']",crime crime crime drama drama drama thriller thriller thriller
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']",action action action adventure adventure adventure comedy comedy comedy crime crime crime
113,Before and After,Drama|Mystery,1996.0,"['Drama', 'Mystery']",drama drama drama mystery mystery mystery
116,Anne Frank Remembered,Documentary,1995.0,['Documentary'],documentary documentary documentary
117,"Young Poisoner's Handbook, The",Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
118,If Lucy Fell,Comedy|Romance,1996.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
119,"Steal Big, Steal Little",Comedy,1995.0,['Comedy'],comedy comedy comedy
121,"Boys of St. Vincent, The",Drama,1992.0,['Drama'],drama drama drama
122,Boomerang,Comedy|Romance,1992.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994.0,"['Drama', 'Mystery', 'Romance']",drama drama drama mystery mystery mystery romance romance romance
125,Flirting With Disaster,Comedy,1996.0,['Comedy'],comedy comedy comedy
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994.0,"['Adventure', 'Children', 'Fantasy']",adventure adventure adventure children children children fantasy fantasy fantasy
128,Jupiter's Wife,Documentary,1994.0,['Documentary'],documentary documentary documentary
129,Pie in the Sky,Comedy|Romance,1996.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
132,Jade,Thriller,1995.0,['Thriller'],thriller thriller thriller
135,Down Periscope,Comedy,1996.0,['Comedy'],comedy comedy comedy
137,Man of the Year,Documentary,1995.0,['Documentary'],documentary documentary documentary
140,Up Close and Personal,Drama|Romance,1996.0,"['Drama', 'Romance']",drama drama drama romance romance romance
141,"Birdcage, The",Comedy,1996.0,['Comedy'],comedy comedy comedy
144,"Brothers McMullen, The",Comedy,1995.0,['Comedy'],comedy comedy comedy
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",action action action comedy comedy comedy crime crime crime drama drama drama thriller thriller thriller
146,"Amazing Panda Adventure, The",Adventure|Children,1995.0,"['Adventure', 'Children']",adventure adventure adventure children children children
147,"Basketball Diaries, The",Drama,1995.0,['Drama'],drama drama drama
148,"Awfully Big Adventure, An",Drama,1995.0,['Drama'],drama drama drama
149,Amateur,Crime|Drama|Thriller,1994.0,"['Crime', 'Drama', 'Thriller']",crime crime crime drama drama drama thriller thriller thriller
150,Apollo 13,Adventure|Drama|IMAX,1995.0,"['Adventure', 'Drama', 'IMAX']",adventure adventure adventure drama drama drama imax imax imax
151,Rob Roy,Action|Drama|Romance|War,1995.0,"['Action', 'Drama', 'Romance', 'War']",action action action drama drama drama romance romance romance war war war
152,"Addiction, The",Drama|Horror,1995.0,"['Drama', 'Horror']",drama drama drama horror horror horror
153,Batman Forever,Action|Adventure|Comedy|Crime,1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']",action action action adventure adventure adventure comedy comedy comedy crime crime crime
154,Beauty of the Day (Belle de jour),Drama,1967.0,['Drama'],drama drama drama
155,Beyond Rangoon,Adventure|Drama|War,1995.0,"['Adventure', 'Drama', 'War']",adventure adventure adventure drama drama drama war war war
156,Blue in the Face,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
157,Canadian Bacon,Comedy|War,1995.0,"['Comedy', 'War']",comedy comedy comedy war war war
158,Casper,Adventure|Children,1995.0,"['Adventure', 'Children']",adventure adventure adventure children children children
159,Clockers,Crime|Drama|Mystery,1995.0,"['Crime', 'Drama', 'Mystery']",crime crime crime drama drama drama mystery mystery mystery
160,Congo,Action|Adventure|Mystery|Sci-Fi,1995.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",action action action adventure adventure adventure mystery mystery mystery sci-fi sci-fi sci-fi
161,Crimson Tide,Drama|Thriller|War,1995.0,"['Drama', 'Thriller', 'War']",drama drama drama thriller thriller thriller war war war
162,Crumb,Documentary,1994.0,['Documentary'],documentary documentary documentary
163,Desperado,Action|Romance|Western,1995.0,"['Action', 'Romance', 'Western']",action action action romance romance romance western western western
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995.0,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",crime crime crime film-noir film-noir film-noir mystery mystery mystery thriller thriller thriller
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",action action action crime crime crime thriller thriller thriller
166,"Doom Generation, The",Comedy|Crime|Drama,1995.0,"['Comedy', 'Crime', 'Drama']",comedy comedy comedy crime crime crime drama drama drama
168,First Knight,Action|Drama|Romance,1995.0,"['Action', 'Drama', 'Romance']",action action action drama drama drama romance romance romance
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995.0,"['Adventure', 'Children', 'Drama']",adventure adventure adventure children children children drama drama drama
170,Hackers,Action|Adventure|Crime|Thriller,1995.0,"['Action', 'Adventure', 'Crime', 'Thriller']",action action action adventure adventure adventure crime crime crime thriller thriller thriller
171,Jeffrey,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995.0,"['Action', 'Sci-Fi', 'Thriller']",action action action sci-fi sci-fi sci-fi thriller thriller thriller
173,Judge Dredd,Action|Crime|Sci-Fi,1995.0,"['Action', 'Crime', 'Sci-Fi']",action action action crime crime crime sci-fi sci-fi sci-fi
174,Jury Duty,Comedy,1995.0,['Comedy'],comedy comedy comedy
175,Kids,Drama,1995.0,['Drama'],drama drama drama
176,Living in Oblivion,Comedy,1995.0,['Comedy'],comedy comedy comedy
177,Lord of Illusions,Horror,1995.0,['Horror'],horror horror horror
178,Love & Human Remains,Comedy|Drama,1993.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
179,Mad Love,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
180,Mallrats,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
181,Mighty Morphin Power Rangers: The Movie,Action|Children,1995.0,"['Action', 'Children']",action action action children children children
183,Mute Witness,Comedy|Horror|Thriller,1994.0,"['Comedy', 'Horror', 'Thriller']",comedy comedy comedy horror horror horror thriller thriller thriller
184,Nadja,Drama,1994.0,['Drama'],drama drama drama
185,"Net, The",Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",action action action crime crime crime thriller thriller thriller
186,Nine Months,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
187,Party Girl,Comedy,1995.0,['Comedy'],comedy comedy comedy
188,"Prophecy, The",Fantasy|Horror|Mystery,1995.0,"['Fantasy', 'Horror', 'Mystery']",fantasy fantasy fantasy horror horror horror mystery mystery mystery
189,Reckless,Comedy|Fantasy,1995.0,"['Comedy', 'Fantasy']",comedy comedy comedy fantasy fantasy fantasy
190,Safe,Thriller,1995.0,['Thriller'],thriller thriller thriller
191,"Scarlet Letter, The",Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
193,Showgirls,Drama,1995.0,['Drama'],drama drama drama
194,Smoke,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
195,Something to Talk About,Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
196,Species,Horror|Sci-Fi,1995.0,"['Horror', 'Sci-Fi']",horror horror horror sci-fi sci-fi sci-fi
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",action action action crime crime crime drama drama drama mystery mystery mystery sci-fi sci-fi sci-fi thriller thriller thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1964.0,"['Drama', 'Musical', 'Romance']",drama drama drama musical musical musical romance romance romance
201,Three Wishes,Drama|Fantasy,1995.0,"['Drama', 'Fantasy']",drama drama drama fantasy fantasy fantasy
202,Total Eclipse,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995.0,['Comedy'],comedy comedy comedy
204,Under Siege 2: Dark Territory,Action,1995.0,['Action'],action action action
205,Unstrung Heroes,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
206,Unzipped,Documentary,1995.0,['Documentary'],documentary documentary documentary
207,"Walk in the Clouds, A",Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
208,Waterworld,Action|Adventure|Sci-Fi,1995.0,"['Action', 'Adventure', 'Sci-Fi']",action action action adventure adventure adventure sci-fi sci-fi sci-fi
209,White Man's Burden,Drama,1995.0,['Drama'],drama drama drama
210,Wild Bill,Western,1995.0,['Western'],western western western
211,"Browning Version, The",Drama,1994.0,['Drama'],drama drama drama
212,Bushwhacked,Adventure|Comedy|Crime|Mystery,1995.0,"['Adventure', 'Comedy', 'Crime', 'Mystery']",adventure adventure adventure comedy comedy comedy crime crime crime mystery mystery mystery
213,Burnt by the Sun (Utomlyonnye solntsem),Drama,1994.0,['Drama'],drama drama drama
214,Before the Rain (Pred dozhdot),Drama|War,1994.0,"['Drama', 'War']",drama drama drama war war war
215,Before Sunrise,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
216,Billy Madison,Comedy,1995.0,['Comedy'],comedy comedy comedy
217,"Babysitter, The",Drama|Thriller,1995.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
218,Boys on the Side,Comedy|Drama,1995.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
219,"Cure, The",Drama,1995.0,['Drama'],drama drama drama
220,Castle Freak,Horror,1995.0,['Horror'],horror horror horror
222,Circle of Friends,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
223,Clerks,Comedy,1994.0,['Comedy'],comedy comedy comedy
224,Don Juan DeMarco,Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
225,Disclosure,Drama|Thriller,1994.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
227,Drop Zone,Action|Thriller,1994.0,"['Action', 'Thriller']",action action action thriller thriller thriller
228,Destiny Turns on the Radio,Comedy,1995.0,['Comedy'],comedy comedy comedy
229,Death and the Maiden,Drama|Thriller,1994.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
230,Dolores Claiborne,Drama|Thriller,1995.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
231,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,1994.0,"['Adventure', 'Comedy']",adventure adventure adventure comedy comedy comedy
232,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,1994.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
233,Exotica,Drama,1994.0,['Drama'],drama drama drama
234,Exit to Eden,Comedy,1994.0,['Comedy'],comedy comedy comedy
235,Ed Wood,Comedy|Drama,1994.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
236,French Kiss,Action|Comedy|Romance,1995.0,"['Action', 'Comedy', 'Romance']",action action action comedy comedy comedy romance romance romance
237,Forget Paris,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995.0,"['Adventure', 'Children']",adventure adventure adventure children children children
239,"Goofy Movie, A",Animation|Children|Comedy|Romance,1995.0,"['Animation', 'Children', 'Comedy', 'Romance']",animation animation animation children children children comedy comedy comedy romance romance romance
240,Hideaway,Thriller,1995.0,['Thriller'],thriller thriller thriller
241,Fluke,Children|Drama,1995.0,"['Children', 'Drama']",children children children drama drama drama
242,Farinelli: il castrato,Drama|Musical,1994.0,"['Drama', 'Musical']",drama drama drama musical musical musical
243,Gordy,Children|Comedy|Fantasy,1995.0,"['Children', 'Comedy', 'Fantasy']",children children children comedy comedy comedy fantasy fantasy fantasy
246,Hoop Dreams,Documentary,1994.0,['Documentary'],documentary documentary documentary
247,Heavenly Creatures,Crime|Drama,1994.0,"['Crime', 'Drama']",crime crime crime drama drama drama
248,Houseguest,Comedy,1994.0,['Comedy'],comedy comedy comedy
249,Immortal Beloved,Drama|Romance,1994.0,"['Drama', 'Romance']",drama drama drama romance romance romance
250,Heavyweights (Heavy Weights),Children|Comedy,1995.0,"['Children', 'Comedy']",children children children comedy comedy comedy
251,"Hunted, The",Action,1995.0,['Action'],action action action
252,I.Q.,Comedy|Romance,1994.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994.0,"['Drama', 'Horror']",drama drama drama horror horror horror
254,Jefferson in Paris,Drama,1995.0,['Drama'],drama drama drama
255,"Jerky Boys, The",Comedy,1995.0,['Comedy'],comedy comedy comedy
256,Junior,Comedy|Sci-Fi,1994.0,"['Comedy', 'Sci-Fi']",comedy comedy comedy sci-fi sci-fi sci-fi
257,Just Cause,Mystery|Thriller,1995.0,"['Mystery', 'Thriller']",mystery mystery mystery thriller thriller thriller
258,"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,1995.0,"['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",adventure adventure adventure children children children comedy comedy comedy fantasy fantasy fantasy romance romance romance
259,Kiss of Death,Crime|Drama|Thriller,1995.0,"['Crime', 'Drama', 'Thriller']",crime crime crime drama drama drama thriller thriller thriller
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977.0,"['Action', 'Adventure', 'Sci-Fi']",action action action adventure adventure adventure sci-fi sci-fi sci-fi
261,Little Women,Drama,1994.0,['Drama'],drama drama drama
262,"Little Princess, A",Children|Drama,1995.0,"['Children', 'Drama']",children children children drama drama drama
263,Ladybird Ladybird,Drama,1994.0,['Drama'],drama drama drama
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992.0,"['Drama', 'Fantasy', 'Romance']",drama drama drama fantasy fantasy fantasy romance romance romance
266,Legends of the Fall,Drama|Romance|War|Western,1994.0,"['Drama', 'Romance', 'War', 'Western']",drama drama drama romance romance romance war war war western western western
267,Major Payne,Comedy,1995.0,['Comedy'],comedy comedy comedy
269,My Crazy Life (Mi vida loca),Drama,1993.0,['Drama'],drama drama drama
270,Love Affair,Drama|Romance,1994.0,"['Drama', 'Romance']",drama drama drama romance romance romance
271,Losing Isaiah,Drama,1995.0,['Drama'],drama drama drama
272,"Madness of King George, The",Comedy|Drama,1994.0,"['Comedy', 'Drama']",comedy comedy comedy drama drama drama
273,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,1994.0,"['Drama', 'Horror', 'Sci-Fi']",drama drama drama horror horror horror sci-fi sci-fi sci-fi
274,Man of the House,Comedy,1995.0,['Comedy'],comedy comedy comedy
275,Mixed Nuts,Comedy,1994.0,['Comedy'],comedy comedy comedy
276,Milk Money,Comedy|Romance,1994.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
277,Miracle on 34th Street,Drama,1994.0,['Drama'],drama drama drama
278,Miami Rhapsody,Comedy,1995.0,['Comedy'],comedy comedy comedy
279,My Family,Drama,1995.0,['Drama'],drama drama drama
280,Murder in the First,Drama|Thriller,1995.0,"['Drama', 'Thriller']",drama drama drama thriller thriller thriller
281,Nobody's Fool,Comedy|Drama|Romance,1994.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
282,Nell,Drama,1994.0,['Drama'],drama drama drama
283,New Jersey Drive,Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
284,New York Cop (Nyû Yôku no koppu),Action|Crime,1993.0,"['Action', 'Crime']",action action action crime crime crime
285,Beyond Bedlam,Drama|Horror,1993.0,"['Drama', 'Horror']",drama drama drama horror horror horror
